Year,Month,Anomaly,Date,Max,Min
1763,12,-1.077,1763-12,,
1764,1,-1.679,1764-1,,
1764,2,2.261,1764-2,,
1764,3,-0.615,1764-3,,
1764,4,-0.914,1764-4,,
1764,5,-1.536,1764-5,,
1764,6,-2.718,1764-6,,
1764,7,-2.078,1764-7,,
1764,8,-1.778,1764-8,,
1764,9,-1.64,1764-9,,
1764,10,0.567,1764-10,,
1764,11,-1.016,1764-11,,
1764,12,0.826,1764-12,,
1765,1,0.29,1765-1,,
1765,2,-0.18,1765-2,,
1765,3,1.009,1765-3,,
1765,4,0.357,1765-4,,
1765,5,-0.819,1765-5,,
1765,6,-2.696,1765-6,,
1765,7,-0.447,1765-7,,
1765,8,-0.829,1765-8,,
1765,9,-1.267,1765-9,,
1765,10,-1.358,1765-10,,
1765,11,-0.999,1765-11,,
1765,12,-1.742,1765-12,,
1766,1,-3.909,1766-1,,
1766,2,1.219,1766-2,,
1766,3,0.232,1766-3,,
1766,4,-0.479,1766-4,,
1766,5,-0.138,1766-5,,
1766,6,0.087,1766-6,,
1766,7,-0.991,1766-7,,
1766,8,-0.228,1766-8,,
1766,9,0.227,1766-9,,
1766,10,-0.835,1766-10,,
1766,11,0.741,1766-11,,
1766,12,-1.583,1766-12,,
1767,1,-3.634,1767-1,,
1767,2,0.306,1767-2,,
1767,3,1.181,1767-3,,
1767,4,-2.521,1767-4,,
1767,5,-1.3,1767-5,,
1767,6,0.527,1767-6,,
1767,7,-1.304,1767-7,,
1767,8,0.709,1767-8,,
1767,9,-0.525,1767-9,,
1767,10,-0.36,1767-10,,
1767,11,1.791,1767-11,,
1767,12,-2.937,1767-12,,
1768,1,-5.361,1768-1,,
1768,2,-3.637,1768-2,,
1768,3,-3.404,1768-3,,
1768,4,-1.772,1768-4,,
1768,5,-2.252,1768-5,,
1768,6,-0.842,1768-6,,
1768,7,-0.399,1768-7,,
1768,8,-1.699,1768-8,,
1768,9,-1.44,1768-9,,
1768,10,-1.57,1768-10,,
1768,11,-1.628,1768-11,,
1768,12,-1.057,1768-12,,
1769,1,-0.467,1769-1,,
1769,2,-1.404,1769-2,,
1769,3,-1.147,1769-3,,
1769,4,0.382,1769-4,,
1769,5,1.282,1769-5,,
1769,6,1.15,1769-6,,
1769,7,-0.266,1769-7,,
1769,8,-0.674,1769-8,,
1769,9,-0.941,1769-9,,
1769,10,-4.15,1769-10,,
1769,11,-3.701,1769-11,,
1769,12,-5.431,1769-12,,
1770,1,-0.897,1770-1,,
1770,2,0.094,1770-2,,
1770,3,-4.509,1770-3,,
1770,4,0.56,1770-4,,
1770,5,-1.377,1770-5,,
1770,6,-1.995,1770-6,,
1770,7,-2.939,1770-7,,
1770,8,-2.592,1770-8,,
1770,9,-1.474,1770-9,,
1770,10,-0.508,1770-10,,
1770,11,-0.623,1770-11,,
1770,12,0.998,1770-12,,
1771,1,2.07,1771-1,,
1771,2,-4.244,1771-2,,
1771,3,-3.337,1771-3,,
1771,4,-3.077,1771-4,,
1771,5,-1.433,1771-5,,
1771,6,0.303,1771-6,,
1771,7,-0.681,1771-7,,
1771,8,-0.044,1771-8,,
1771,9,-0.972,1771-9,,
1771,10,0.981,1771-10,,
1771,11,-1.768,1771-11,,
1771,12,-1.689,1771-12,,
1772,1,-1.516,1772-1,,
1772,2,-2.291,1772-2,,
1772,3,-2.956,1772-3,,
1772,4,0.114,1772-4,,
1772,5,-2.02,1772-5,,
1772,6,-1.027,1772-6,,
1772,7,-0.09,1772-7,,
1772,8,0.07,1772-8,,
1772,9,-1.81,1772-9,,
1772,10,-0.156,1772-10,,
1772,11,1.487,1772-11,,
1772,12,1.654,1772-12,,
1773,1,-2.77,1773-1,,
1773,2,-2.186,1773-2,,
1773,3,-1.229,1773-3,,
1773,4,0.885,1773-4,,
1773,5,1.739,1773-5,,
1773,6,-0.617,1773-6,,
1773,7,0.133,1773-7,,
1773,8,-0.261,1773-8,,
1773,9,0.368,1773-9,,
1773,10,-0.176,1773-10,,
1773,11,-2.913,1773-11,,
1773,12,1.603,1773-12,,
1774,1,-3.26,1774-1,,
1774,2,1.348,1774-2,,
1774,3,0.103,1774-3,,
1774,4,1.718,1774-4,,
1774,5,5.814,1774-5,,
1774,6,1.914,1774-6,,
1774,7,1.923,1774-7,,
1774,8,-0.051,1774-8,,
1774,9,-1.329,1774-9,,
1774,10,-0.699,1774-10,,
1774,11,-3.069,1774-11,,
1774,12,-3.454,1774-12,,
1775,1,1.335,1775-1,,
1775,2,2.681,1775-2,,
1775,3,1.835,1775-3,,
1775,4,-1.031,1775-4,,
1775,5,-0.502,1775-5,,
1775,6,-1.593,1775-6,,
1775,7,-0.057,1775-7,,
1775,8,0.51,1775-8,,
1775,9,-0.945,1775-9,,
1775,10,1.096,1775-10,,
1775,11,2.092,1775-11,,
1775,12,-2.385,1775-12,,
1776,1,-3.388,1776-1,,
1776,2,1.018,1776-2,,
1776,3,-1.311,1776-3,,
1776,4,-1.382,1776-4,,
1776,5,-1.395,1776-5,,
1776,6,0.592,1776-6,,
1776,7,-0.665,1776-7,,
1776,8,0.863,1776-8,,
1776,9,-1.651,1776-9,,
1776,10,-1.513,1776-10,,
1776,11,-0.343,1776-11,,
1776,12,1.339,1776-12,,
1777,1,3.299,1777-1,,
1777,2,1.32,1777-2,,
1777,3,-0.21,1777-3,,
1777,4,-2.331,1777-4,,
1777,5,-0.266,1777-5,,
1777,6,-1.449,1777-6,,
1777,7,-2.055,1777-7,,
1777,8,-1.113,1777-8,,
1777,9,-0.72,1777-9,,
1777,10,-2.352,1777-10,,
1777,11,-0.68,1777-11,,
1777,12,-0.271,1777-12,,
1778,1,0.316,1778-1,,
1778,2,2.391,1778-2,,
1778,3,-1.136,1778-3,,
1778,4,2.421,1778-4,,
1778,5,-0.343,1778-5,,
1778,6,0.029,1778-6,,
1778,7,1.004,1778-7,,
1778,8,-1.004,1778-8,,
1778,9,1.215,1778-9,,
1778,10,-1.367,1778-10,,
1778,11,-2.451,1778-11,,
1778,12,-1.742,1778-12,,
